municipality,type,county,base_url,platform,status,detected_platform,detected_evidence,probe_status
Fair Haven,Borough,Monmouth,http://www.fairhavennj.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Fair Lawn,Borough,Bergen,https://www.fairlawn.org,civicplus,found,civicplus,already_known,skip
Fairview,Borough,Bergen,,,no_url,skip,no_url,skip
Fanwood,Borough,Union,https://fanwoodnj.org,unknown,found,unknown,,ok
Far Hills,Borough,Somerset,https://www.farhillsnj.org,unknown,not_found,unknown,,ok
Farmingdale,Borough,Monmouth,,,no_url,skip,no_url,skip
Fieldsboro,Borough,Burlington,,,no_url,skip,no_url,skip
Florence,Township,Burlington,https://www.florence-nj.gov,unknown,found,custom_pdf,pdf_links:83,ok
Florham Park,Borough,Morris,https://www.florhamparknj.gov,unknown,not_found,unknown,,ok
Folsom,Borough,Atlantic,http://www.folsomborough.com,unknown,found,custom_pdf,pdf_links:3,ok
Franklin Lakes,Borough,Bergen,https://www.franklinlakes.org,civicplus,found,civicplus,already_known,skip
Fredon,Township,Sussex,https://www.fredonnj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Frelinghuysen,Township,Warren,https://www.frelinghuysen-nj.us,unknown,not_found,agendacenter,html:AgendaCenter,ok
Frenchtown,Borough,Hunterdon,https://frenchtownboro.com,unknown,found,unknown,,ok
Galloway,Township,Atlantic,https://www.gtnj.org,unknown,found,unknown,,ok
Garwood,Borough,Union,https://garwood.org,civicplus,found,civicplus,already_known,skip
Glen Gardner,Borough,Hunterdon,https://www.glengardner.org,unknown,found,unknown,,ok
Glen Ridge,Borough,Essex,https://www.glenridgenj.org,unknown,found,custom_pdf,pdf_links:182,ok
Glen Rock,Borough,Bergen,https://glenrocknj.net,unknown,found,unknown,,ok
Gloucester,Township,Camden,https://glotwp.com,unknown,found,agendacenter,html:AgendaCenter,ok
Green,Township,Sussex,http://www.greentwp.com,unknown,found,custom_pdf,pdf_links:12,ok
Green Brook,Township,Somerset,https://www.greenbrooktwp.org,unknown,found,custom_pdf,pdf_links:8,ok
Greenwich,Township,Cumberland,https://www.historicgreenwichnj.org,unknown,found,unknown,,ok
Greenwich,Township,Gloucester,https://www.historicgreenwichnj.org,unknown,found,unknown,,ok
Greenwich,Township,Warren,https://www.historicgreenwichnj.org,unknown,found,unknown,,ok
Guttenberg,Town,Hudson,https://www.guttenbergnj.org,unknown,found,custom_pdf,pdf_links:2,ok
Haddon,Township,Camden,https://www.haddontwp.com,unknown,found,custom_pdf,pdf_links:224,ok
Haddon Heights,Borough,Camden,https://haddonhts.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Haddonfield,Borough,Camden,https://www.haddonfieldnj.org,unknown,not_found,unknown,,ok
Hamburg,Borough,Sussex,,,no_url,skip,no_url,skip
Hampton,Borough,Hunterdon,https://www.hamptontownshipnj.info,agendacenter,found,agendacenter,already_known,skip
Hampton,Township,Sussex,https://www.hamptontownshipnj.info,agendacenter,found,agendacenter,already_known,skip
Hanover,Township,Morris,https://www.hanovertownship.com,agendacenter,found,agendacenter,already_known,skip
Harding,Township,Morris,https://www.hardingnj.org,unknown,found,unknown,,ok
Hardwick,Township,Warren,https://www.hardwicktwp.com,unknown,found,unknown,,ok
Hardyston,Township,Sussex,https://hardyston.com,unknown,found,custom_pdf,pdf_links:4,ok
Harmony,Township,Warren,http://www.harmonytwp-nj.gov,unknown,found,unknown,,ok
Harrington Park,Borough,Bergen,https://www.harringtonparknj.gov,unknown,found,unknown,,ok
Harvey Cedars,Borough,Ocean,https://www.harveycedars.org,unknown,found,custom_pdf,pdf_links:3,ok
Hasbrouck Heights,Borough,Bergen,https://hasbrouck-heightsnj.org,unknown,found,custom_pdf,pdf_links:154,ok
Haworth,Borough,Bergen,https://www.haworthnj.org,civicplus,found,civicplus,already_known,skip
Hawthorne,Borough,Passaic,https://www.hawthornenj.org,agendacenter,found,agendacenter,already_known,skip
Hazlet,Township,Monmouth,https://www.hazlettwp.org,agendacenter,found,agendacenter,already_known,skip
Helmetta,Borough,Middlesex,http://www.helmettaboro.com,unknown,found,custom_pdf,pdf_links:4,ok
Hi-Nella,Borough,Camden,https://www.hinellaboro.org,unknown,found,custom_pdf,pdf_links:2,ok
High Bridge,Borough,Hunterdon,https://highbridge.org,unknown,found,agendacenter,html:AgendaCenter,ok
Hightstown,Borough,Mercer,https://www.hightstownborough.com,unknown,found,custom_pdf,pdf_links:5,ok
Hillsborough,Township,Somerset,https://www.hillsborough-nj.org,unknown,found,unknown,,ok
Hillsdale,Borough,Bergen,https://www.hillsdalenj.org,civicplus,found,civicplus,already_known,skip
Hillside,Township,Union,https://hillsidenj.us,legistar,found,legistar,already_known,skip
Ho-Ho-Kus,Borough,Bergen,https://www.hhkborough.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Holland,Township,Hunterdon,https://www.hollandtownshipnj.gov,unknown,found,unknown,,ok
Holmdel,Township,Monmouth,https://www.holmdeltownship.com,agendacenter,found,agendacenter,already_known,skip
Hope,Township,Warren,https://www.hopetwp-nj.us,unknown,found,unknown,,ok
Howell,Township,Monmouth,https://www.twp.howell.nj.us,agendacenter,found,agendacenter,already_known,skip
Independence,Township,Warren,https://independencenj.com,unknown,found,custom_pdf,pdf_links:139,ok
Interlaken,Borough,Monmouth,https://www.interlakenboro.com,unknown,found,custom_pdf,pdf_links:114,ok
Island Heights,Borough,Ocean,https://islandheightsborough.gov,unknown,found,unknown,,ok
Jackson,Township,Ocean,https://www.jacksontwpnj.net,agendacenter,found,agendacenter,already_known,skip
Jamesburg,Borough,Middlesex,https://www.jamesburgborough.org,unknown,not_found,unknown,,ok
Kearny,Town,Hudson,https://www.kearnynj.org,unknown,found,custom_pdf,pdf_links:251 (wordpress /council-meeting-agendas/),ok
Kenilworth,Borough,Union,https://www.kenilworthborough.com,agendacenter,found,agendacenter,already_known,skip
Kingwood,Township,Hunterdon,https://www.kingwoodtownship.com,unknown,found,unknown,,ok
Kinnelon,Borough,Morris,https://www.kinnelonboro.org,unknown,found,custom_pdf,pdf_links:28,ok
Knowlton,Township,Warren,https://knowlton-nj.com,unknown,found,custom_pdf,pdf_links:2,ok
Lacey,Township,Ocean,http://www.laceytownship.org,agendacenter,found,agendacenter,already_known,skip
Lake Como,Borough,Monmouth,https://lakecomonj.org,unknown,found,unknown,,ok
Laurel Springs,Borough,Camden,https://www.laurelsprings-nj.com,agendacenter,found,agendacenter,already_known,skip
Lavallette,Borough,Ocean,https://www.lavallette.org,unknown,found,agendacenter,html:AgendaCenter,ok
Lebanon,Township,Hunterdon,http://www.lebanontownship.net,unknown,found,iqm2,html:IQM2,ok
Lebanon,Borough,Hunterdon,http://www.lebanontownship.net,unknown,found,iqm2,html:IQM2,ok
Leonia,Borough,Bergen,https://www.leonianj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Liberty,Township,Warren,https://www.libertytownship.org,unknown,found,custom_pdf,pdf_links:15,ok
Lindenwold,Borough,Camden,https://www.lindenwoldnj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Linwood,City,Atlantic,http://www.linwoodcity.org,unknown,found,custom_pdf,pdf_links:3,ok
Little Egg Harbor,Township,Ocean,https://www.leht.com,unknown,found,custom_pdf,pdf_links:359,ok
Little Silver,Borough,Monmouth,https://www.littlesilvernj.gov,agendacenter,found,agendacenter,already_known,skip
Livingston,Township,Essex,https://www.livingstonnj.org,agendacenter,found,agendacenter,already_known,skip
Loch Arbour,Village,Monmouth,,,no_url,skip,no_url,skip
Logan,Township,Gloucester,https://www.logan-twp.org,agendacenter,found,agendacenter,already_known,skip
Long Beach,Township,Ocean,https://www.longbeachtownship.com,unknown,found,custom_pdf,pdf_links:32,ok
Long Branch,City,Monmouth,https://www.longbranch.org,agendacenter,found,agendacenter,already_known,skip
Long Hill,Township,Morris,https://www.longhillnj.gov,unknown,found,custom_pdf,pdf_links:2,ok
Longport,Borough,Atlantic,https://www.longportnj.gov,unknown,found,custom_pdf,pdf_links:2,ok
Lopatcong,Township,Warren,https://www.lopatcongtwp.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Lower,Township,Cape May,https://townshipoflower.org,unknown,found,custom_pdf,pdf_links:15,ok
Lower Alloways Creek,Township,Salem,https://www.lowerallowayscreek-nj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Lyndhurst,Township,Bergen,https://www.lyndhurstnj.org,unknown,found,unknown,,ok
Madison,Borough,Morris,https://www.rosenet.org,agendacenter,found,agendacenter,already_known,skip
Magnolia,Borough,Camden,https://magnolia-nj.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Mahwah,Township,Bergen,https://www.mahwahtwp.org,agendacenter,found,agendacenter,already_known,skip
Manalapan,Township,Monmouth,https://mtnj.org,unknown,found,unknown,,ok
Manasquan,Borough,Monmouth,https://www.manasquan-nj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Manchester,Township,Ocean,https://manchestertwp.com,unknown,found,civicplus,html:CivicPlus,ok
Mannington,Township,Salem,https://manningtontwp.com,unknown,found,unknown,,ok
Mansfield,Township,Burlington,https://www.mansfieldtwp.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Mansfield,Township,Warren,https://www.mansfieldtwp.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Mantoloking,Borough,Ocean,https://www.mantoloking.org,agendacenter,found,agendacenter,already_known,skip
Mantua,Township,Gloucester,https://mantuatownship.com,unknown,found,unknown,,ok
Manville,Borough,Somerset,https://www.manvillenj.org,agendacenter,found,agendacenter,already_known,skip
Maple Shade,Township,Burlington,https://mapleshade.com,unknown,not_found,unknown,,ok
Margate City,City,Atlantic,https://www.margate-nj.com,unknown,not_found,agendacenter,html:AgendaCenter,ok
Marlboro,Township,Monmouth,https://www.marlboro-nj.gov,unknown,found,custom_pdf,pdf_links:2,ok
Maurice River,Township,Cumberland,https://www.mauricerivertwp.org,civicplus,found,civicplus,already_known,skip
Medford,Township,Burlington,https://medfordtownship.com,unknown,not_found,unknown,,ok
Medford Lakes,Borough,Burlington,https://www.medfordlakes.com,agendacenter,found,agendacenter,already_known,skip
Mendham,Township,Morris,https://www.mendhamtownship.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Mendham,Borough,Morris,https://www.mendhamtownship.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Middletown,Township,Monmouth,https://www.middletownnj.org,agendacenter,found,agendacenter,already_known,skip
Midland Park,Borough,Bergen,https://www.midlandparknj.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Milford,Borough,Hunterdon,https://www.milfordnj.gov,unknown,found,unknown,,ok
Millburn,Township,Essex,https://twp.millburn.nj.us,agendacenter,found,agendacenter,already_known,skip
Millstone,Township,Monmouth,https://www.millstonenj.gov,unknown,found,custom_pdf,pdf_links:6,ok
Millstone,Borough,Somerset,https://www.millstonenj.gov,unknown,found,custom_pdf,pdf_links:6,ok
Milltown,Borough,Middlesex,https://www.milltownnj.org,civicplus,found,civicplus,already_known,skip
Mine Hill,Township,Morris,https://minehill.com,unknown,found,civicplus,html:CivicPlus,ok
Monmouth Beach,Borough,Monmouth,https://www.monmouthbeach.org,unknown,not_found,unknown,,ok
Montague,Township,Sussex,https://www.montaguenj.org,unknown,found,custom_pdf,pdf_links:4,ok
Montgomery,Township,Somerset,https://www.montgomerynj.gov,agendacenter,found,agendacenter,already_known,skip
Montvale,Borough,Bergen,https://www.montvale.org,unknown,found,unknown,,ok
Montville,Township,Morris,https://www.montvillenj.org,agendacenter,found,agendacenter,already_known,skip
Moonachie,Borough,Bergen,https://www.moonachie.us,agendacenter,found,agendacenter,already_known,skip
Morris,Township,Morris,https://www.morristwp.com,agendacenter,found,agendacenter,already_known,skip
Morris Plains,Borough,Morris,https://morrisplainsboro.org,unknown,found,agendacenter,html:AgendaCenter,ok
Mount Arlington,Borough,Morris,https://mountarlingtonnj.org,unknown,found,custom_pdf,pdf_links:4,ok
Mountain Lakes,Borough,Morris,https://mountainlakes.gov,unknown,found,custom_pdf,pdf_links:20,ok
Mountainside,Borough,Union,https://www.mountainside-nj.com,unknown,found,custom_pdf,pdf_links:608,ok
Mullica,Township,Atlantic,https://www.mullicatownship.org,unknown,found,custom_pdf,pdf_links:18,ok
National Park,Borough,Gloucester,https://www.nationalparknj.com,unknown,not_found,unknown,,ok
Neptune,Township,Monmouth,https://neptunetownship.org,unknown,found,agendacenter,html:AgendaCenter,ok
New Hanover,Township,Burlington,https://www.newhanovertwp.com,unknown,found,unknown,,ok
New Milford,Borough,Bergen,https://www.newmilfordnj.gov,civicplus,found,civicplus,already_known,skip
New Providence,Borough,Union,https://www.newprov.org,agendacenter,found,agendacenter,already_known,skip
North Arlington,Borough,Bergen,https://www.northarlington.org,unknown,found,unknown,,ok
North Caldwell,Borough,Essex,https://www.northcaldwell.org/our-borough,unknown,not_found,agendacenter,html:AgendaCenter,ok
North Haledon,Borough,Passaic,https://www.northhaledon.com,unknown,not_found,unknown,,ok
North Hanover,Township,Burlington,https://www.northhanovertwp.com,unknown,not_found,unknown,,ok
North Wildwood,City,Cape May,https://northwildwood.com,unknown,not_found,unknown,,ok
Northfield,City,Atlantic,https://www.cityofnorthfield.org,unknown,found,custom_pdf,pdf_links:6,ok
Northvale,Borough,Bergen,https://www.boroughofnorthvale.com,unknown,found,unknown,,ok
Norwood,Borough,Bergen,https://www.norwoodboro.org,unknown,not_found,unknown,,ok
Nutley,Township,Essex,https://www.nutleynj.org,unknown,not_found,unknown,,ok
Ocean,Township,Monmouth,https://www.oceantwp.org,unknown,found,agendacenter,html:AgendaCenter,ok
Ocean,Township,Ocean,https://www.oceantwp.org,unknown,found,agendacenter,html:AgendaCenter,ok
Ocean Gate,Borough,Ocean,https://oceangatenjgov.com,unknown,found,unknown,,ok
Oceanport,Borough,Monmouth,https://www.oceanportboro.com,unknown,found,civicclerk,html:civicclerk\.com,ok
Ogdensburg,Borough,Sussex,https://ogdensburgnj.org,unknown,found,custom_pdf,pdf_links:172,ok
Old Bridge,Township,Middlesex,https://www.oldbridge.com,unknown,not_found,unknown,,ok
Old Tappan,Borough,Bergen,https://oldtappan.net,unknown,found,unknown,,ok
Oldmans,Township,Salem,https://oldmanstownship.com,unknown,found,unknown,,ok
Oradell,Borough,Bergen,http://www.oradell.org,unknown,found,agendacenter,html:AgendaCenter,ok
Palisades Park,Borough,Bergen,https://mypalisadespark.com,agendacenter,found,agendacenter,already_known,skip
Palmyra,Borough,Burlington,https://boroughofpalmyra.com,unknown,found,agendacenter,html:AgendaCenter,ok
Park Ridge,Borough,Bergen,https://www.parkridgeboro.com,unknown,found,unknown,,ok
Parsippany-Troy Hills,Township,Morris,https://www.parsippany.net,unknown,found,unknown,,ok
Peapack-Gladstone,Borough,Somerset,http://www.peapackgladstone.org,unknown,found,custom_pdf,pdf_links:8,ok
Pennsville,Township,Salem,https://www.pennsville.org,unknown,found,agendacenter,html:AgendaCenter,ok
Perth Amboy,City,Middlesex,https://www.perthamboynj.org,unknown,found,agendacenter,html:AgendaCenter,ok
Pilesgrove,Township,Salem,https://www.pilesgrovenj.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Pine Beach,Borough,Ocean,https://www.pinebeachnj.gov,unknown,found,unknown,,ok
Pine Hill,Borough,Camden,https://www.pinehillboronj.com,unknown,not_found,unknown,,ok
Pine Valley,Borough,Camden,,,no_url,skip,no_url,skip
Piscataway,Township,Middlesex,http://www.piscatawaynj.org,unknown,not_found,unknown,,ok
Pitman,Borough,Gloucester,https://www.pitman.org,unknown,found,custom_pdf,pdf_links:15,ok
Pittsgrove,Township,Salem,https://www.pittsgrovetownship.com,unknown,found,agendacenter,html:AgendaCenter,ok
Plainsboro,Township,Middlesex,https://www.plainsboronj.com,agendacenter,found,agendacenter,already_known,skip
Plumsted,Township,Ocean,http://www.plumsted.org,unknown,not_found,agendacenter,html:AgendaCenter,ok
Pohatcong,Township,Warren,http://www.pohatcongtwp.org,unknown,found,unknown,,ok
Point Pleasant,Borough,Ocean,,,no_url,skip,no_url,skip
Point Pleasant Beach,Borough,Ocean,https://www.pointpleasantbeach.org,agendacenter,found,agendacenter,already_known,skip
Pompton Lakes,Borough,Passaic,https://www.pomptonlakes-nj.gov,agendacenter,found,agendacenter,already_known,skip
Port Republic,City,Atlantic,https://www.portrepublicnj.org,unknown,found,custom_pdf,pdf_links:9,ok
Prospect Park,Borough,Passaic,https://www.prospectpark.net,unknown,not_found,unknown,,ok
Quinton,Township,Salem,,,no_url,skip,no_url,skip
Ramsey,Borough,Bergen,https://www.ramseynj.com,agendacenter,found,agendacenter,already_known,skip
Randolph,Township,Morris,https://www.randolphnj.org,agendacenter,found,agendacenter,already_known,skip
Readington,Township,Hunterdon,https://www.readington.gov,unknown,found,unknown,,ok
Ridgefield Park,Village,Bergen,https://www.ridgefieldpark.org,agendacenter,found,agendacenter,already_known,skip
Ridgewood,Village,Bergen,https://www.ridgewoodnj.net,agendacenter,found,agendacenter,already_known,skip
Ringwood,Borough,Passaic,https://www.ringwoodnj.net,unknown,not_found,unknown,,ok
River Vale,Township,Bergen,https://www.rivervalenj.org,unknown,not_found,unknown,,ok
Riverdale,Borough,Morris,http://www.riverdalenj.gov,unknown,found,unknown,,ok
Riverton,Borough,Burlington,https://riverton-nj.com,unknown,not_found,unknown,,ok
Robbinsville,Township,Mercer,https://www.robbinsville-twp.org,unknown,found,custom_pdf,pdf_links:448,ok
Rockleigh,Borough,Bergen,https://rockleighnj.org,unknown,found,unknown,,ok
Rocky Hill,Borough,Somerset,https://www.rockyhill-nj.gov,agendacenter,found,agendacenter,already_known,skip
Roosevelt,Borough,Monmouth,https://www.rooseveltnj.us,unknown,found,unknown,,ok
Roseland,Borough,Essex,http://www.roselandnj.org,agendacenter,found,agendacenter,already_known,skip
Roxbury,Township,Morris,https://www.roxburynj.us,agendacenter,found,agendacenter,already_known,skip
Rumson,Borough,Monmouth,https://www.rumsonnj.gov,unknown,found,unknown,,ok
Rutherford,Borough,Bergen,https://www.rutherfordboronj.com,unknown,found,unknown,,ok
Saddle River,Borough,Bergen,https://www.saddleriver.org,civicplus,found,civicplus,already_known,skip
Sandyston,Township,Sussex,https://www.sandystontownship.com,unknown,found,unknown,,ok
Sayreville,Borough,Middlesex,http://www.sayreville.com,unknown,found,custom_pdf,pdf_links:51 (/cn/Meetings/),ok
